mass_A
t x y
4.680000000E0 1.060780812E2 9.548249647E0
4.690000000E0 1.057434206E2 9.422692864E0
4.700000000E0 1.053602805E2 9.288537264E0
4.710000000E0 1.049675922E2 9.149387814E0
4.720000000E0 1.045658920E2 9.008678353E0
4.730000000E0 1.041388470E2 8.867075902E0
4.740000000E0 1.036835488E2 8.725327227E0
4.750000000E0 1.032409044E2 8.582829328E0
4.760000000E0 1.028031247E2 8.437265411E0
4.770000000E0 1.023334766E2 8.289980793E0
4.780000000E0 1.018398421E2 8.142997238E0
4.790000000E0 1.013260186E2 7.973488634E0
4.800000000E0 1.008157185E2 7.826034331E0
4.810000000E0 1.002648630E2 7.637817973E0
4.820000000E0 9.971473962E1 7.458221973E0
4.830000000E0 9.914910663E1 7.303389341E0
4.840000000E0 9.856260312E1 7.134870748E0
4.850000000E0 9.793761014E1 6.925411113E0
4.860000000E0 9.731312850E1 6.749001670E0
4.870000000E0 9.667398872E1 6.564697101E0
4.880000000E0 9.605677550E1 6.394458881E0
4.890000000E0 9.539430030E1 6.252050818E0
4.900000000E0 9.469076868E1 6.073585622E0
4.910000000E0 9.399505651E1 5.800202633E0
4.920000000E0 9.332904869E1 5.560369378E0
4.930000000E0 9.263032496E1 5.351105565E0
4.940000000E0 9.193172465E1 5.149359476E0
4.950000000E0 9.117398456E1 4.934262169E0
4.960000000E0 9.042906478E1 4.747690138E0
4.970000000E0 8.967575373E1 4.522096463E0
4.980000000E0 8.890523184E1 4.323546823E0
4.990000000E0 8.812818843E1 4.113339721E0
5.000000000E0 8.732643255E1 3.922446404E0
5.010000000E0 8.649224137E1 3.704578955E0
5.020000000E0 8.565346933E1 3.509162390E0
5.030000000E0 8.481001642E1 3.345028648E0
5.040000000E0 8.394880241E1 3.141545349E0
5.050000000E0 8.309644865E1 2.958593661E0
5.060000000E0 8.224015858E1 2.805478567E0
5.070000000E0 8.138955575E1 2.663896034E0
5.080000000E0 8.052028173E1 2.522644491E0
5.090000000E0 7.960912862E1 2.381664473E0
5.100000000E0 7.870763999E1 2.251054049E0
5.110000000E0 7.784235153E1 2.147742902E0
5.120000000E0 7.692501895E1 2.122217178E0
5.130000000E0 7.598014024E1 1.997949027E0
5.140000000E0 7.505670318E1 1.857760965E0
5.150000000E0 7.412410712E1 1.781579798E0
5.160000000E0 7.317301797E1 1.694185336E0
5.170000000E0 7.225127605E1 1.654458489E0
5.180000000E0 7.132243666E1 1.596743030E0
5.190000000E0 7.040371276E1 1.541365957E0
5.200000000E0 6.946152911E1 1.529590252E0
5.210000000E0 6.856420896E1 1.518683460E0
5.220000000E0 6.761835073E1 1.520782279E0
5.230000000E0 6.671780778E1 1.524851069E0
5.240000000E0 6.577836546E1 1.533548881E0
5.250000000E0 6.485450756E1 1.541659056E0
5.260000000E0 6.392681597E1 1.555797473E0
5.270000000E0 6.298759210E1 1.586578165E0
5.280000000E0 6.208220947E1 1.654757146E0
5.290000000E0 6.115743081E1 1.688600661E0
5.300000000E0 6.025480292E1 1.776427558E0
5.310000000E0 5.938554339E1 1.835018384E0
5.320000000E0 5.857348718E1 1.949929626E0
5.330000000E0 5.769915706E1 2.075656740E0
5.340000000E0 5.681410445E1 2.120745711E0
5.350000000E0 5.597793381E1 2.174628603E0
5.360000000E0 5.510885163E1 2.291615470E0
5.370000000E0 5.424063579E1 2.395254285E0
5.380000000E0 5.340651191E1 2.527426647E0
5.390000000E0 5.258762725E1 2.669701729E0
5.400000000E0 5.178418328E1 2.809911791E0
5.410000000E0 5.098694165E1 2.963295172E0
5.420000000E0 5.023222992E1 3.110794505E0
5.430000000E0 4.945932878E1 3.275192742E0
5.440000000E0 4.872195070E1 3.446624574E0
5.450000000E0 4.802085465E1 3.640270430E0
5.460000000E0 4.731509903E1 3.795786858E0
5.470000000E0 4.662304308E1 3.950544961E0
5.480000000E0 4.594241380E1 4.116892009E0
5.490000000E0 4.526309732E1 4.303614571E0
5.500000000E0 4.463445232E1 4.481405213E0
5.510000000E0 4.397805914E1 4.640614845E0
5.520000000E0 4.336772543E1 4.791157751E0
5.530000000E0 4.276262914E1 4.943730831E0
5.540000000E0 4.214577523E1 5.110412387E0
5.550000000E0 4.157056253E1 5.255335655E0
5.560000000E0 4.099507590E1 5.399086777E0
5.570000000E0 4.045094276E1 5.530182742E0
5.580000000E0 3.992881406E1 5.682271868E0
5.590000000E0 3.941415028E1 5.804494670E0
5.600000000E0 3.891217609E1 5.930983447E0
5.610000000E0 3.838436525E1 6.067036935E0
5.620000000E0 3.791404420E1 6.159079405E0
5.630000000E0 3.746728405E1 6.286584820E0
5.640000000E0 3.703068923E1 6.424561794E0
5.650000000E0 3.660529968E1 6.550174574E0
5.660000000E0 3.619369806E1 6.660316575E0
5.670000000E0 3.579773426E1 6.760843931E0
5.680000000E0 3.539900637E1 6.881412737E0
5.690000000E0 3.506050354E1 7.000237317E0
5.700000000E0 3.473898816E1 7.077834368E0
5.710000000E0 3.441385574E1 7.171880314E0
5.720000000E0 3.409866301E1 7.283952239E0
5.730000000E0 3.381171671E1 7.355870971E0
5.740000000E0 3.352618933E1 7.446060292E0
5.750000000E0 3.326349957E1 7.520280781E0
5.760000000E0 3.300997908E1 7.588711692E0
5.770000000E0 3.278860301E1 7.647618731E0
5.780000000E0 3.255065865E1 7.726154650E0
5.790000000E0 3.237670085E1 7.771066354E0
